,gapht_m,site,fp_m2,type,tot_mu,tot_se,prop_mu,prop_se
82,28,StJ,16m2,live,5.15516,0.19545,0.3222,0.01222
83,28,StJ,36m2,live,16.86862,0.39582,0.46857,0.011
84,28,StJ,64m2,live,35.39039,0.60419,0.55297,0.00944
85,30,CdA,16m2,live,7.8075,0.19549,0.48797,0.01222
86,30,CdA,36m2,live,22.37089,0.36723,0.62141,0.0102
87,30,CdA,64m2,live,44.95725,0.52081,0.70246,0.00814
88,30,StJ,16m2,live,7.36161,0.20838,0.4601,0.01302
89,30,StJ,36m2,live,21.47948,0.39611,0.59665,0.011
90,30,StJ,64m2,live,42.6514,0.5907,0.66643,0.00923
91,32,CdA,16m2,live,10.2142,0.18892,0.63839,0.01181
92,32,CdA,36m2,live,27.00253,0.32847,0.75007,0.00912
93,32,CdA,64m2,live,51.92144,0.44048,0.81127,0.00688
94,32,StJ,16m2,live,9.64189,0.20857,0.60262,0.01304
95,32,StJ,36m2,live,25.82683,0.36799,0.71741,0.01022
96,32,StJ,64m2,live,49.31056,0.53094,0.77048,0.0083
97,34,CdA,16m2,live,12.35004,0.16493,0.77188,0.01031
98,34,CdA,36m2,live,30.60025,0.2703,0.85001,0.00751
99,34,CdA,64m2,live,57.04233,0.34315,0.89129,0.00536
100,34,StJ,16m2,live,11.70996,0.18557,0.73187,0.0116
101,34,StJ,36m2,live,29.57983,0.29928,0.82166,0.00831
102,34,StJ,64m2,live,54.93894,0.41255,0.85842,0.00645
103,36,CdA,16m2,live,13.95851,0.13003,0.87241,0.00813
104,36,CdA,36m2,live,33.09288,0.20166,0.91925,0.0056
105,36,CdA,64m2,live,60.40712,0.24124,0.94386,0.00377
106,36,StJ,16m2,live,13.59359,0.14391,0.8496,0.00899
107,36,StJ,36m2,live,32.61086,0.21287,0.90586,0.00591
108,36,StJ,64m2,live,59.32307,0.2757,0.92692,0.00431
109,38,CdA,16m2,live,14.93555,0.0983,0.93347,0.00614
110,38,CdA,36m2,live,34.59035,0.13957,0.96084,0.00388
111,38,CdA,64m2,live,62.32414,0.16065,0.97381,0.00251
112,38,StJ,16m2,live,14.89089,0.0993,0.93068,0.00621
113,38,StJ,36m2,live,34.51101,0.14025,0.95864,0.0039
114,38,StJ,64m2,live,62.0005,0.16977,0.96876,0.00265
115,40,CdA,16m2,live,15.47725,0.06856,0.96733,0.00428
116,40,CdA,36m2,live,35.33467,0.09507,0.98152,0.00264
117,40,CdA,64m2,live,63.23104,0.10911,0.98799,0.0017
118,40,StJ,16m2,live,15.53153,0.06704,0.97072,0.00419
119,40,StJ,36m2,live,35.40065,0.08966,0.98335,0.00249
120,40,StJ,64m2,live,63.21797,0.10399,0.98778,0.00162
121,42,CdA,16m2,live,15.74853,0.04815,0.98428,0.00301
122,42,CdA,36m2,live,35.67586,0.06842,0.991,0.0019
123,42,CdA,64m2,live,63.63058,0.08004,0.99423,0.00125
124,42,StJ,16m2,live,15.81607,0.04146,0.9885,0.00259
125,42,StJ,36m2,live,35.75676,0.05985,0.99324,0.00166
126,42,StJ,64m2,live,63.70395,0.06468,0.99537,0.00101
127,44,CdA,16m2,live,15.86373,0.03607,0.99148,0.00225
128,44,CdA,36m2,live,35.82329,0.05277,0.99509,0.00147
129,44,CdA,64m2,live,63.80076,0.06149,0.99689,0.00096
