snagid,site,xc,yc,plotid,plot xc,plotyc,crs_epsg,sppid,treeDBH,treeHT,top,cavsum
HS221F_WL06,stj,568520.2712,5221668.466,HS221F,568539.897,5221689.37,26911,WL,0.22,27.07,HIGH BT,0
HS221F_WL07,stj,568520.2687,5221681.803,HS221F,568539.897,5221689.37,26911,WL,0.22,,BT,0
HS222A_GF01,stj,569685.4637,5221197.914,HS222A,569679.951,5221176.62,26911,GF,0.41,,INTACT,0
HS222A_GF02,stj,569681.6489,5221193.423,HS222A,569679.951,5221176.62,26911,GF,0.34,,INTACT,0
HS222A_GF04,stj,569675.8482,5221183.685,HS222A,569679.951,5221176.62,26911,GF,0.18,,INTACT,0
HS222A_UN01,stj,569690.6996,5221191.195,HS222A,569679.951,5221176.62,26911,UN,0.68,,INTACT,0
HS222A_UN02,stj,569670.2032,5221186.509,HS222A,569679.951,5221176.62,26911,UN,0.59,,BT,0
HS222A_UN03,stj,569662.3617,5221176.191,HS222A,569679.951,5221176.62,26911,UN,0.61,,INTACT,0
HS222A_UN04,stj,569660.5027,5221185.95,HS222A,569679.951,5221176.62,26911,UN,0.62,,INTACT,0
HS222A_UN05,stj,569679.833,5221186.622,HS222A,569679.951,5221176.62,26911,UN,0.45,,INTACT,0
HS222C_DF08,stj,571045.3936,5220232.882,HS222C,571061.048,5220211.4,26911,DF,0.26,14.82,HIGH BT,0
HS222C_GF02,stj,571065.3284,5220227.675,HS222C,571061.048,5220211.4,26911,GF,0.16,13.86,INTACT,0
HS222C_GF03,stj,571063.1639,5220212.089,HS222C,571061.048,5220211.4,26911,GF,0.21,18.2,INTACT,0
HS222C_GF04,stj,571056.735,5220210.567,HS222C,571061.048,5220211.4,26911,GF,0.58,7.24,BT,1
HS222C_WL01,stj,571067.2042,5220235.7,HS222C,571061.048,5220211.4,26911,WL,0.29,9.4,BT,0
HS222D_RC01,stj,569975.6144,5222340.555,HS222D,569974.406,5222333.76,26911,RC,,8,INTACT,0
HS222D_RC02,stj,569964.4666,5222334.31,HS222D,569974.406,5222333.76,26911,RC,,16,BT,0
HS222D_RC03,stj,569986.7622,5222346.799,HS222D,569974.406,5222333.76,26911,RC,,26.7,INTACT,0
HS222F_DF01,stj,570051.8035,5219704.463,HS222F,570034.593,5219716.6,26911,DF,0.55,12.46,BT,7
HS222F_RC01,stj,570042.3654,5219720.023,HS222F,570034.593,5219716.6,26911,RC,0.69,27.71,INTACT,0
HS222F_RC02,stj,570049.2159,5219698.765,HS222F,570034.593,5219716.6,26911,RC,0.46,27.72,INTACT,0
HS222F_RC03,stj,570038.2996,5219698.191,HS222F,570034.593,5219716.6,26911,RC,0.4,24.85,INTACT,0
HS222F_RC05,stj,570032.5377,5219704.347,HS222F,570034.593,5219716.6,26911,RC,0.64,34.99,INTACT,0
HS222F_UN01,stj,570041.6907,5219719.348,HS222F,570034.593,5219716.6,26911,UN,0.65,25.15,HIGH BT,1
HS222G_GF01,stj,570590.5246,5220609.116,HS222G,570589.968,5220617.67,26911,GF,,3.38,BT,0
HS222G_GF02,stj,570599.887,5220593.556,HS222G,570589.968,5220617.67,26911,GF,0.82,37.06,INTACT,0
HS222G_GF03,stj,570613.6669,5220608.28,HS222G,570589.968,5220617.67,26911,GF,0.7,7.77,BT,0
HS222I_UN01,stj,569241.588,5220900.182,HS222I,569223.69,5220900.2,26911,UN,0.85,14.53,BT,1
HS222I_UN02,stj,569216.5275,5220896.555,HS222I,569223.69,5220900.2,26911,UN,0.38,5.91,BT,0
HS222I_UN03,stj,569205.9723,5220904.212,HS222I,569223.69,5220900.2,26911,UN,0.47,26.39,INTACT,0
HS22X5_DF01,stj,567802.3829,5221795.691,HS22X5,567801.608,5221803.8,26911,DF,0.4,19.43,BT,0
HS22X5_WL01,stj,567814.115,5221804.161,HS22X5,567801.608,5221803.8,26911,WL,0.23,20.64,INTACT,0
HS22X5_WL02,stj,567802.8881,5221797.919,HS22X5,567801.608,5221803.8,26911,WL,0.25,12.35,BT,0
HS22X6_UN01,stj,568661.143,5221329.776,HS22X6,568650.27,5221306.09,26911,UN,0.41,,BT,0
HS22X7_DF01,stj,570927.6205,5219362.551,HS22X7,570922.253,5219354.71,26911,DF,0.28,17,INTACT,0
HS22X7_GF02,stj,570920.9179,5219364.804,HS22X7,570922.253,5219354.71,26911,GF,0.16,23.8,INTACT,0
HS22X7_GF03,stj,570922.5813,5219365.269,HS22X7,570922.253,5219354.71,26911,GF,0.32,13.6,HIGH BT,0
HS22X7_RC01,stj,570903.0484,5219374.705,HS22X7,570922.253,5219354.71,26911,RC,0.82,37.4,INTACT,0
HS22X7_UN02,stj,570924.1088,5219358.063,HS22X7,570922.253,5219354.71,26911,UN,0.37,26.9,INTACT,0
HS22X7_WL01,stj,570919.7014,5219346.007,HS22X7,570922.253,5219354.71,26911,WL,0.52,34.4,INTACT,0
HS22X7_WL02,stj,570926.8604,5219337.312,HS22X7,570922.253,5219354.71,26911,WL,0.2,26.2,INTACT,0
