snagid,site,xc,yc,plotid,plot xc,plotyc,crs_epsg,sppid,treeDBH,treeHT,top,cavsum
BR211Z_SF02,cda,538818.3023,5282243.173,BR211Z,538834.388,5282227.94,26911,SF,0.22,10.9,INTACT,0
BR211Z_SF03,cda,538820.0743,5282247.519,BR211Z,538834.388,5282227.94,26911,SF,0.23,12,INTACT,0
BR211Z_SF05,cda,538836.7066,5282240.295,BR211Z,538834.388,5282227.94,26911,SF,0.23,14.4,INTACT,0
BR211Z_SF06,cda,538842.4881,5282228.552,BR211Z,538834.388,5282227.94,26911,SF,0.24,15.7,INTACT,0
BR211Z_SF07,cda,538837.6938,5282216.072,BR211Z,538834.388,5282227.94,26911,SF,0.14,9.3,INTACT,0
BR211Z_SF08,cda,538820.7711,5282233.075,BR211Z,538834.388,5282227.94,26911,SF,0.31,14.1,INTACT,0
BR212A_DF01,cda,534775.9178,5285432.197,BR212A,534777.464,5285424.43,26911,DF,0.42,5.87,BT,1
BR212A_DF02,cda,534788.3406,5285436.717,BR212A,534777.464,5285424.43,26911,DF,0.48,3.35,BT,1
BR212A_DF03,cda,534784.8501,5285443.476,BR212A,534777.464,5285424.43,26911,DF,0.49,11.96,BT,0
BR212A_DF04,cda,534784.8796,5285426.027,BR212A,534777.464,5285424.43,26911,DF,0.48,13.46,BT,2
BR212A_DF05,cda,534773.8685,5285423.738,BR212A,534777.464,5285424.43,26911,DF,0.58,3.85,BT,1
BR212A_DF06,cda,534778.7022,5285418.099,BR212A,534777.464,5285424.43,26911,DF,0.35,2.47,BT,0
BR212A_DF07,cda,534769.6599,5285437.717,BR212A,534777.464,5285424.43,26911,DF,0.52,3.32,BT,0
BR212A_DF08,cda,534769.4186,5285415.376,BR212A,534777.464,5285424.43,26911,DF,0.62,13.97,HIGH BT,0
BR212A_DF09,cda,534769.2054,5285425.933,BR212A,534777.464,5285424.43,26911,DF,0.6,3.32,BT,0
BR212A_UN01,cda,534793.1006,5285430.855,BR212A,534777.464,5285424.43,26911,UN,0.44,4.85,BT,0
BR212B_GF01,cda,525937.8777,5297366.825,BR212B,525930.329,5297364.46,26911,GF,0.39,3.93,BT,0
BR212B_GF02,cda,525945.6572,5297367.749,BR212B,525930.329,5297364.46,26911,GF,0.64,,HIGH BT,0
BR212B_GF03,cda,525949.3429,5297380.325,BR212B,525930.329,5297364.46,26911,GF,0.44,,INTACT,0
BR212B_GF05,cda,525949.0266,5297367.431,BR212B,525930.329,5297364.46,26911,GF,0.53,22.83,HIGH BT,0
BR212B_GF06,cda,525949.6597,5297359.764,BR212B,525930.329,5297364.46,26911,GF,0.45,36.55,INTACT,0
BR212B_GF07,cda,525936.6248,5297362.485,BR212B,525930.329,5297364.46,26911,GF,,2.29,BT,0
BR212B_GF08,cda,525935.2203,5297358.588,BR212B,525930.329,5297364.46,26911,GF,,30.6,INTACT,0
BR212B_GF09,cda,525937.1557,5297360.931,BR212B,525930.329,5297364.46,26911,GF,,10.58,BT,0
BR212B_GF10,cda,525943.2403,5297355.957,BR212B,525930.329,5297364.46,26911,GF,0.56,5.7,BT,1
BR212B_GF11,cda,525919.1023,5297347.846,BR212B,525930.329,5297364.46,26911,GF,0.6,,BT,0
BR212C_PP01,cda,531842.2479,5281329.861,BR212C,531845.77,5281330.88,26911,PP,0.62,18.2,HIGH BT,1
BR212C_PP02,cda,531839.5557,5281355.52,BR212C,531845.77,5281330.88,26911,PP,0.35,,BT,0
BR212I_PP01,cda,530846.6234,5293587.418,BR212I,530830.122,5293592.22,26911,PP,0.55,7.77,BT,0
BR212X_DF03,cda,535483.3267,5282468.599,BR212X,535504.941,5282468.06,26911,DF,0.58,35.78,INTACT,0
